year,net_benefit,under_proportion,devided
0,-161806.8333,0.33837619,-478186.2266
1,-130497352.2,0.615192901,-212124281.5
2,-122969418.6,0.628131876,-195770065.8
3,-122971903.3,0.638340806,-192643024
4,-123010875.8,0.647805421,-189888617.6
5,-122990072.7,0.655162209,-187724614
6,-122956796.6,0.66054432,-186144657.9
7,-122906473.2,0.664131014,-185063595.4
8,-122924251.1,0.665551723,-184695263.9
9,-122898722.3,0.666589492,-184369426.5
10,-122929619.7,0.668061154,-184009531
11,-122950370.7,0.669129906,-183746638.3
12,-122988764.1,0.669219015,-183779542
13,-122970170.8,0.669219015,-183751758.4
14,-123051529,0.669219015,-183873330.3
15,-122998171.6,0.669219015,-183793599.5
16,-123047854.7,0.669219015,-183867839.8
17,-123102874.6,0.669219015,-183950054.9
18,-123070283.8,0.669219015,-183901355.2
19,-123169516.8,0.669219015,-184049637
20,-123141244.4,0.669219015,-184007390.2
21,-123121184.7,0.669219015,-183977415.3
22,-123170246.6,0.669219015,-184050727.4
23,-123206900.2,0.669219015,-184105498.2
24,-123244450.8,0.669219015,-184161609.4
25,-123300966.6,0.669219015,-184246059.6
26,-123249273.3,0.669219015,-184168815.5
27,-125524480.6,0.669219015,-187568610.1
28,-123412314.3,0.669219015,-184412444.3
29,-123445978.3,0.669219015,-184462747.6
30,-123478017.6,0.669219015,-184510623.3
31,-123467382.3,0.669219015,-184494731.2
32,-123434708.5,0.669219015,-184445907.3
33,-123502688.4,0.669219015,-184547488.3
34,-123509424.3,0.669219015,-184557553.7
35,-123515736.8,0.669219015,-184566986.4
36,-123541952.3,0.669219015,-184606159.6
37,-123560724.5,0.669219015,-184634210.5
38,-123582309.2,0.669219015,-184666464.1
39,-123629299.9,0.669219015,-184736681.3
