Parameter,%change in cost resulted from +%10 change in parameter,%change in cost resulted from -%10 change in parameter
r,-13.306929849516802,16.498664289705797
over_corridor_length,-0.24823386398920336,0.24823386398917785
under_corridor_length,0.496467727978343,-0.4964677279783302
over_replcost,1.3778829302117557,-1.3778829302117175
under_replcost,7.5135191089162525,-7.513519108916277
overhead_proportion,-9.027744408053163,12.640600537654795
over_lifespan,-6.720924588288576,17.274659759419123
under_lifespan,-13.447880286235204,19.802515124831658
over_om_percentage_replcost,1.3778829302117557,-1.3778829302117175
under_om_percentage_replcost,2.474659497739708,-2.47465949773967
length_shape,13.345443888852651,-7.344526957878153
length_scale,10.00349031890576,-10.00285571546835
age_shape,15.235869236411972,-11.688809345510109
age_scale,17.362839325949263,-13.155071570568506
