year,net_benefit,under_proportion,devided
0,-161806.8333,0.33837619,-478186.2266
1,-118680443.3,0.37404918,-317285666.1
2,-116535731.9,0.378199284,-308133137.5
3,-110774712.9,0.385538933,-287324323
4,-108699633.5,0.39910371,-272359366.1
5,-105649292,0.417152269,-253263136.4
6,-101707794,0.433349321,-234701634.8
7,-97825471.24,0.446035945,-219321945.4
8,-93780998.85,0.467324462,-200676417.3
9,-89778371.93,0.492364895,-182341131.1
10,-85330423.27,0.513576576,-166149367.4
11,-80505030.6,0.542448616,-148410426.8
12,-75872483.08,0.578998983,-131040788.1
13,-70620893.39,0.615292645,-114776105.3
14,-66048079.24,0.655923808,-100694743
15,-61881175.72,0.689622296,-89731982.46
16,-58891024.28,0.72478963,-81252575.65
17,-57199994.07,0.766852279,-74590629.34
18,-55310945.81,0.797175644,-69383637.36
19,-55768778.6,0.841066015,-66307254.83
20,-55522786.87,0.871742495,-63691729.11
21,-56221946.96,0.892009613,-63028409.25
22,-58272553.88,0.917887561,-63485503.37
23,-59389451.52,0.938305423,-63294370.97
24,-61227449.21,0.957234652,-63962842.45
25,-62847725.45,0.971948227,-64661597.89
26,-64154573.87,0.982712451,-65283159.67
27,-65395936.68,0.989885838,-66064119.92
28,-65947282.07,0.992727256,-66430413.5
29,-66581815.9,0.994802794,-66929663.16
30,-66950029.64,0.997746119,-67101267.93
31,-67271772,0.999883622,-67279601.88
32,-67313192.04,1.000061841,-67309029.6
33,-67551084.96,1.000061841,-67546907.82
34,-67548944.88,1.000061841,-67544767.87
35,-67564677.39,1.000061841,-67560499.4
36,-67590318.06,1.000061841,-67586138.49
37,-67609155.44,1.000061841,-67604974.71
38,-67638784.22,1.000061841,-67634601.65
39,-67691709.39,1.000061841,-67687523.55
