year,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
0,0,0.0,0,0.0
1,0,5206838.84630372,0,2467747.7034337274
2,0,5206838.84630372,0,2467747.7034337274
3,0,5206838.84630372,0,2467747.7034337274
4,0,5206838.84630372,0,2467747.7034337274
5,0,5206838.84630372,0,2467747.7034337274
6,0,5206838.84630372,0,2467747.7034337274
7,0,5206838.84630372,0,2467747.7034337274
8,0,5206838.84630372,0,2467747.7034337274
9,0,5206838.84630372,0,2467747.7034337274
10,0,5206838.84630372,0,2467747.7034337274
11,0,5206838.84630372,0,2467747.7034337274
12,0,5206838.84630372,0,2467747.7034337274
13,0,5206838.84630372,0,2467747.7034337274
14,0,5206838.84630372,0,2467747.7034337274
15,0,5206838.84630372,0,2467747.7034337274
16,0,5206838.84630372,0,2467747.7034337274
17,0,5206838.84630372,0,2467747.7034337274
18,0,5206838.84630372,0,2467747.7034337274
19,0,5206838.84630372,0,2467747.7034337274
20,0,5206838.84630372,0,2467747.7034337274
21,0,5206838.84630372,0,2467747.7034337274
22,0,5206838.84630372,0,2467747.7034337274
23,0,5206838.84630372,0,2467747.7034337274
24,0,5206838.84630372,0,2467747.7034337274
25,0,5206838.84630372,0,2467747.7034337274
26,0,5206838.84630372,0,2467747.7034337274
27,0,5206838.84630372,0,2467747.7034337274
28,0,5206838.84630372,0,2467747.7034337274
29,0,5206838.84630372,0,2467747.7034337274
30,0,5206838.84630372,0,2467747.7034337274
31,0,5206838.84630372,0,2467747.7034337274
32,0,5206838.84630372,0,2467747.7034337274
33,0,5206838.84630372,0,2467747.7034337274
34,0,5206838.84630372,0,2467747.7034337274
35,0,5206838.84630372,0,2467747.7034337274
36,0,5206838.84630372,0,2467747.7034337274
37,0,5206838.84630372,0,2467747.7034337274
38,0,5206838.84630372,0,2467747.7034337274
39,0,5206838.84630372,0,2467747.7034337274
