year,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
0,0.0,0.0,0.0,0.0
1,690382.309522163,5207877.267077299,690382.309522163,2486104.157349742
2,32269.868257735412,3874135.1478052796,32269.868257735412,1849410.6145667173
3,25461.126025482725,3811793.3382237307,25461.126025482725,1819650.268070615
4,23604.79714272241,3762605.264143756,23604.79714272241,1796169.1702660809
5,18347.866972245003,3717003.4117615437,18347.866972245003,1774400.0407385926
6,13423.014947670941,3681557.365937136,13423.014947670941,1757479.0271727093
7,8945.23133856612,3655625.588490929,8945.23133856612,1745099.8760502285
8,3543.255495942167,3638344.3927848353,3543.255495942167,1736850.2859993083
9,2588.2016094663413,3631499.2158023147,2588.2016094663413,1733582.5778561807
10,3670.333837587442,3626499.097096924,3670.333837587442,1731195.652192763
11,2665.471815599639,3619408.4188401657,2665.471815599639,1727810.748173616
12,222.23938189267358,3614259.022659,222.23938189267358,1725352.5613544355
13,0.0,3613829.6807999997,0.0,1725147.6047999999
14,0.0,3613829.6807999997,0.0,1725147.6047999999
15,0.0,3613829.6807999997,0.0,1725147.6047999999
16,0.0,3613829.6807999997,0.0,1725147.6047999999
17,0.0,3613829.6807999997,0.0,1725147.6047999999
18,0.0,3613829.6807999997,0.0,1725147.6047999999
19,0.0,3613829.6807999997,0.0,1725147.6047999999
20,0.0,3613829.6807999997,0.0,1725147.6047999999
21,0.0,3613829.6807999997,0.0,1725147.6047999999
22,0.0,3613829.6807999997,0.0,1725147.6047999999
23,0.0,3613829.6807999997,0.0,1725147.6047999999
24,0.0,3613829.6807999997,0.0,1725147.6047999999
25,0.0,3613829.6807999997,0.0,1725147.6047999999
26,0.0,3613829.6807999997,0.0,1725147.6047999999
27,0.0,3613829.6807999997,0.0,1725147.6047999999
28,0.0,3613829.6807999997,0.0,1725147.6047999999
29,0.0,3613829.6807999997,0.0,1725147.6047999999
30,0.0,3613829.6807999997,0.0,1725147.6047999999
31,0.0,3613829.6807999997,0.0,1725147.6047999999
32,0.0,3613829.6807999997,0.0,1725147.6047999999
33,0.0,3613829.6807999997,0.0,1725147.6047999999
34,0.0,3613829.6807999997,0.0,1725147.6047999999
35,0.0,3613829.6807999997,0.0,1725147.6047999999
36,0.0,3613829.6807999997,0.0,1725147.6047999999
37,0.0,3613829.6807999997,0.0,1725147.6047999999
38,0.0,3613829.6807999997,0.0,1725147.6047999999
39,0.0,3613829.6807999997,0.0,1725147.6047999999
