year,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
0,0,0.0,0.0,0.0
1,0,5819256.417769325,44484.31124664103,2777960.5453374353
2,0,5819256.417769325,5175.189717930897,2767704.3172536474
3,0,5819256.417769325,9152.561815980895,2766511.1342046913
4,0,5819256.417769325,16915.312308822788,2764400.9349253275
5,0,5819256.417769325,22506.599451154485,2760500.9689308917
6,0,5819256.417769325,20197.765383740218,2755311.8851642204
7,0,5819256.417769325,15820.253536294491,2750655.122302142
8,0,5819256.417769325,26546.8358816999,2747007.631219006
9,0,5819256.417769325,31225.48430747051,2740887.037327015
10,0,5819256.417769325,26451.02112129537,2733687.742112383
11,0,5819256.417769325,36003.50802929677,2727589.239110618
12,0,5819256.417769325,45578.40272592271,2719288.3307719985
13,0,5819256.417769325,45258.28973735493,2708779.8507944173
14,0,5819256.417769325,50667.16477368156,2698345.1755298087
15,0,5819256.417769325,42022.10141187823,2686663.43912174
16,0,5819256.417769325,43853.757482465655,2676974.8940018504
17,0,5819256.417769325,52452.23096457065,2666864.0453348327
18,0,5819256.417769325,37813.315285227836,2654770.747064046
19,0,5819256.417769325,54731.406108274525,2646052.5726043084
20,0,5819256.417769325,38253.64993938829,2633433.791540562
21,0,5819256.417769325,25273.14829307125,2624614.094262561
22,0,5819256.417769325,32269.868257735412,2618787.159641679
23,0,5819256.417769325,25461.126025482725,2611347.0730176535
24,0,5819256.417769325,23604.79714272241,2605476.7985665197
25,0,5819256.417769325,18347.866972245003,2600034.516184648
26,0,5819256.417769325,13423.014947670941,2595804.2627931773
27,0,5819256.417769325,8945.23133856612,2592709.475012557
28,0,5819256.417769325,3543.255495942167,2590647.0774998274
29,0,5819256.417769325,2588.2016094663413,2589830.1504640453
30,0,5819256.417769325,3670.333837587442,2589233.41904819
31,0,5819256.417769325,2665.471815599639,2588387.1930434043
32,0,5819256.417769325,222.23938189267358,2587772.6463386086
33,0,5819256.417769325,0.0,2587721.4072
34,0,5819256.417769325,0.0,2587721.4072
35,0,5819256.417769325,0.0,2587721.4072
36,0,5819256.417769325,0.0,2587721.4072
37,0,5819256.417769325,0.0,2587721.4072
38,0,5819256.417769325,0.0,2587721.4072
39,0,5819256.417769325,0.0,2587721.4072
