year,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
0,0.0,0.0,0,0.0
1,690382.309522163,4392705.066154599,0,2096962.3066994853
2,32269.868257735412,1725220.827610559,0,2096962.3066994853
3,25461.126025482725,1600537.2084474603,0,2096962.3066994853
4,23604.79714272241,1502161.0602875135,0,2096962.3066994853
5,18347.866972245003,1410957.3555230882,0,2096962.3066994853
6,13423.014947670941,1340065.2638742721,0,2096962.3066994853
7,8945.23133856612,1288201.708981859,0,2096962.3066994853
8,3543.255495942167,1253639.3175696721,0,2096962.3066994853
9,2588.2016094663413,1239948.963604631,0,2096962.3066994853
10,3670.333837587442,1229948.726193849,0,2096962.3066994853
11,2665.471815599639,1215767.369680332,0,2096962.3066994853
12,222.23938189267358,1205468.5773180001,0,2096962.3066994853
13,0.0,1204609.8935999998,0,2096962.3066994853
14,0.0,1204609.8935999998,0,2096962.3066994853
15,0.0,1204609.8935999998,0,2096962.3066994853
16,0.0,1204609.8935999998,0,2096962.3066994853
17,0.0,1204609.8935999998,0,2096962.3066994853
18,0.0,1204609.8935999998,0,2096962.3066994853
19,0.0,1204609.8935999998,0,2096962.3066994853
20,0.0,1204609.8935999998,0,2096962.3066994853
21,0.0,1204609.8935999998,0,2096962.3066994853
22,0.0,1204609.8935999998,0,2096962.3066994853
23,0.0,1204609.8935999998,0,2096962.3066994853
24,0.0,1204609.8935999998,0,2096962.3066994853
25,0.0,1204609.8935999998,0,2096962.3066994853
26,0.0,1204609.8935999998,0,2096962.3066994853
27,0.0,1204609.8935999998,0,2096962.3066994853
28,0.0,1204609.8935999998,0,2096962.3066994853
29,0.0,1204609.8935999998,0,2096962.3066994853
30,0.0,1204609.8935999998,0,2096962.3066994853
31,0.0,1204609.8935999998,0,2096962.3066994853
32,0.0,1204609.8935999998,0,2096962.3066994853
33,0.0,1204609.8935999998,0,2096962.3066994853
34,0.0,1204609.8935999998,0,2096962.3066994853
35,0.0,1204609.8935999998,0,2096962.3066994853
36,0.0,1204609.8935999998,0,2096962.3066994853
37,0.0,1204609.8935999998,0,2096962.3066994853
38,0.0,1204609.8935999998,0,2096962.3066994853
39,0.0,1204609.8935999998,0,2096962.3066994853
