year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-68962342.53,0.615192901,-62693038.66,1.1
2,-36777243.73,0.628131876,-30394416.31,1.21
3,-58364011.21,0.638340806,-43849745.46,1.331
4,-60166674.52,0.647805421,-41094648.26,1.4641
5,-61716244.12,0.655162209,-38320931.95,1.61051
6,-63088352.87,0.66054432,-35611730.49,1.771561
7,-64289073.38,0.664131014,-32990459.92,1.9487171
8,-64830238.86,0.665551723,-30243784.89,2.14358881
9,-65391324.8,0.666589492,-27732305.11,2.357947691
10,-65735690.6,0.668061154,-25343954.39,2.59374246
11,-66091684.09,0.669129906,-23164732.08,2.853116706
12,-66173046.15,0.669219015,-21084771.8,3.138428377
13,-66279485.36,0.669219015,-19198806.02,3.452271214
14,-66340964.74,0.669219015,-17469649.46,3.797498336
15,-66298054.77,0.669219015,-15871227.2,4.177248169
16,-66323034.98,0.669219015,-14433824.79,4.594972986
17,-66359006.43,0.669219015,-13128775.66,5.054470285
18,-66324000.33,0.669219015,-11928954.44,5.559917313
19,-66390543.55,0.669219015,-10855384.39,6.115909045
20,-66356186.5,0.669219015,-9863424.304,6.727499949
npv,,0.669219015,-525311242.8,
