year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-81943902.02,0.892009613,-74494456.38,1.1
2,-37625676.49,0.917887561,-31095600.4,1.21
3,-59165785.22,0.938305423,-44452130.14,1.331
4,-60952361.43,0.957234652,-41631282.99,1.4641
5,-62422269.06,0.971948227,-38759317.89,1.61051
6,-63714083.52,0.982712451,-35964939.12,1.771561
7,-64845615.95,0.989885838,-33276054.26,1.9487171
8,-65262404.37,0.992727256,-30445393.29,2.14358881
9,-65819515.82,0.994802794,-27913899.9,2.357947691
10,-66182849.3,0.997746119,-25516353.42,2.59374246
11,-66505946.45,0.999883622,-23309928.51,2.853116706
12,-66496109.27,1.000061841,-21187709.67,3.138428377
13,-66613935.72,1.000061841,-19295684.37,3.452271214
14,-66626544.19,1.000061841,-17544851.45,3.797498336
15,-66627512.09,1.000061841,-15950096.67,4.177248169
16,-66628499.34,1.000061841,-14500302.73,4.594972986
17,-66629506.34,1.000061841,-13182292.62,5.054470285
18,-66630533.48,1.000061841,-11984087.12,5.559917313
19,-66631581.16,1.000061841,-10894795.96,6.115909045
20,-66632649.8,1.000061841,-9904518.812,6.727499949
npv,,1.000061841,-541340373,
