year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-74040073.75,0.892009613,-67309157.95,1.1
2,-37251906.34,0.917887561,-30786699.45,1.21
3,-58863809.59,0.938305423,-44225251.38,1.331
4,-60665448.75,0.957234652,-41435317.77,1.4641
5,-62195342.61,0.971948227,-38618414.42,1.61051
6,-63543702.47,0.982712451,-35868763.46,1.771561
7,-64731986.06,0.989885838,-33217744.16,1.9487171
8,-65215689.41,0.992727256,-30423600.42,2.14358881
9,-65785328.82,0.994802794,-27899401.28,2.357947691
10,-66131241.29,0.997746119,-25496456.3,2.59374246
11,-66469870.5,0.999883622,-23297284.11,2.853116706
12,-66493100.17,1.000061841,-21186750.88,3.138428377
13,-66613935.72,1.000061841,-19295684.37,3.452271214
14,-66626544.19,1.000061841,-17544851.45,3.797498336
15,-66627512.09,1.000061841,-15950096.67,4.177248169
16,-66628499.34,1.000061841,-14500302.73,4.594972986
17,-66629506.34,1.000061841,-13182292.62,5.054470285
18,-66630533.48,1.000061841,-11984087.12,5.559917313
19,-66631581.16,1.000061841,-10894795.96,6.115909045
20,-66632649.8,1.000061841,-9904518.812,6.727499949
npv,,1.000061841,-533058148.6,
